state,district,pincode,region_key,total_enrolment,total_demographic,total_biometric
assam,baksa,781368,assam_baksa_781368,228.0,851.0,817.0
assam,baksa,781371,assam_baksa_781371,1.0,8.0,7.0
assam,baksa,781372,assam_baksa_781372,364.0,1409.0,1137.0
assam,baksa,781373,assam_baksa_781373,13.0,123.0,336.0
assam,baksa,781377,assam_baksa_781377,21.0,410.0,680.0
assam,barpeta,781301,assam_barpeta_781301,70.0,305.0,797.0
assam,barpeta,781302,assam_barpeta_781302,382.0,1147.0,2073.0
assam,barpeta,781305,assam_barpeta_781305,437.0,1186.0,2231.0
assam,barpeta,781307,assam_barpeta_781307,75.0,881.0,1693.0
assam,barpeta,781308,assam_barpeta_781308,1820.0,6240.0,6496.0
assam,barpeta,781309,assam_barpeta_781309,964.0,2986.0,5871.0
assam,barpeta,781312,assam_barpeta_781312,35.0,324.0,337.0
assam,barpeta,781313,assam_barpeta_781313,435.0,1835.0,3047.0
assam,barpeta,781314,assam_barpeta_781314,1512.0,3029.0,5547.0
assam,barpeta,781315,assam_barpeta_781315,1127.0,1278.0,5508.0
assam,barpeta,781316,assam_barpeta_781316,239.0,4260.0,6125.0
assam,barpeta,781317,assam_barpeta_781317,377.0,951.0,3863.0
assam,barpeta,781318,assam_barpeta_781318,99.0,850.0,2809.0
assam,barpeta,781319,assam_barpeta_781319,348.0,4613.0,5663.0
assam,barpeta,781321,assam_barpeta_781321,141.0,1731.0,3586.0
assam,barpeta,781325,assam_barpeta_781325,148.0,794.0,1760.0
assam,barpeta,781326,assam_barpeta_781326,17.0,114.0,209.0
assam,barpeta,781327,assam_barpeta_781327,0.0,2.0,0.0
assam,barpeta,781328,assam_barpeta_781328,10.0,270.0,518.0
assam,barpeta,781329,assam_barpeta_781329,24.0,149.0,327.0
assam,barpeta,781338,assam_barpeta_781338,0.0,2.0,5.0
assam,barpeta,781352,assam_barpeta_781352,174.0,2197.0,6846.0
assam,barpeta,781355,assam_barpeta_781355,7.0,26.0,128.0
assam,barpeta,781367,assam_barpeta_781367,0.0,0.0,1.0
assam,barpeta,781371,assam_barpeta_781371,7.0,13.0,15.0
assam,barpeta,781375,assam_barpeta_781375,39.0,482.0,965.0
assam,barpeta,781377,assam_barpeta_781377,0.0,1.0,0.0
assam,barpeta,783101,assam_barpeta_783101,872.0,0.0,0.0
assam,biswanath,784166,assam_biswanath_784166,24.0,66.0,26.0
assam,biswanath,784167,assam_biswanath_784167,18.0,166.0,143.0
assam,biswanath,784168,assam_biswanath_784168,57.0,1643.0,1381.0
assam,biswanath,784169,assam_biswanath_784169,11.0,583.0,207.0
assam,biswanath,784170,assam_biswanath_784170,13.0,442.0,316.0
assam,biswanath,784172,assam_biswanath_784172,40.0,372.0,448.0
assam,biswanath,784173,assam_biswanath_784173,19.0,190.0,318.0
assam,biswanath,784174,assam_biswanath_784174,116.0,540.0,773.0
assam,biswanath,784175,assam_biswanath_784175,54.0,408.0,909.0
assam,biswanath,784176,assam_biswanath_784176,226.0,1431.0,1253.0
assam,biswanath,784177,assam_biswanath_784177,30.0,205.0,391.0
assam,biswanath,784178,assam_biswanath_784178,14.0,105.0,373.0
assam,biswanath,784179,assam_biswanath_784179,13.0,138.0,300.0
assam,biswanath,784180,assam_biswanath_784180,2.0,23.0,19.0
assam,biswanath,784184,assam_biswanath_784184,16.0,139.0,174.0
assam,biswanath,784189,assam_biswanath_784189,0.0,19.0,18.0
assam,bongaigaon,783334,assam_bongaigaon_783334,0.0,0.0,1.0
assam,bongaigaon,783371,assam_bongaigaon_783371,83.0,148.0,299.0
assam,bongaigaon,783372,assam_bongaigaon_783372,36.0,362.0,1249.0
assam,bongaigaon,783380,assam_bongaigaon_783380,243.0,7772.0,3967.0
assam,bongaigaon,783381,assam_bongaigaon_783381,59.0,325.0,393.0
assam,bongaigaon,783382,assam_bongaigaon_783382,54.0,668.0,1754.0
assam,bongaigaon,783383,assam_bongaigaon_783383,34.0,1882.0,1840.0
assam,bongaigaon,783384,assam_bongaigaon_783384,616.0,11519.0,7569.0
assam,bongaigaon,783385,assam_bongaigaon_783385,0.0,14.0,21.0
assam,bongaigaon,783388,assam_bongaigaon_783388,96.0,3550.0,2474.0
assam,bongaigaon,783389,assam_bongaigaon_783389,21.0,185.0,524.0
assam,bongaigaon,783390,assam_bongaigaon_783390,52.0,733.0,1942.0
assam,bongaigaon,783391,assam_bongaigaon_783391,324.0,393.0,475.0
assam,bongaigaon,783392,assam_bongaigaon_783392,55.0,1084.0,3083.0
assam,bongaigaon,783393,assam_bongaigaon_783393,0.0,0.0,1.0
assam,cachar,782448,assam_cachar_782448,534.0,0.0,0.0
assam,cachar,788001,assam_cachar_788001,292.0,488.0,1365.0
assam,cachar,788002,assam_cachar_788002,612.0,388.0,1629.0
assam,cachar,788003,assam_cachar_788003,487.0,537.0,2228.0
assam,cachar,788004,assam_cachar_788004,12.0,70.0,445.0
assam,cachar,788005,assam_cachar_788005,726.0,1354.0,2708.0
assam,cachar,788006,assam_cachar_788006,66.0,628.0,1259.0
assam,cachar,788007,assam_cachar_788007,120.0,458.0,1364.0
assam,cachar,788008,assam_cachar_788008,5.0,30.0,37.0
assam,cachar,788009,assam_cachar_788009,591.0,511.0,1770.0
assam,cachar,788010,assam_cachar_788010,15.0,86.0,226.0
assam,cachar,788011,assam_cachar_788011,172.0,282.0,274.0
assam,cachar,788013,assam_cachar_788013,103.0,769.0,1281.0
assam,cachar,788014,assam_cachar_788014,15.0,91.0,148.0
assam,cachar,788015,assam_cachar_788015,30.0,173.0,417.0
assam,cachar,788025,assam_cachar_788025,75.0,869.0,1581.0
assam,cachar,788026,assam_cachar_788026,47.0,662.0,1020.0
assam,cachar,788030,assam_cachar_788030,1065.0,1516.0,1725.0
assam,cachar,788031,assam_cachar_788031,38.0,369.0,374.0
assam,cachar,788098,assam_cachar_788098,367.0,742.0,1036.0
assam,cachar,788099,assam_cachar_788099,250.0,1693.0,1586.0
assam,cachar,788101,assam_cachar_788101,409.0,2394.0,2141.0
assam,cachar,788102,assam_cachar_788102,187.0,199.0,234.0
assam,cachar,788103,assam_cachar_788103,30.0,327.0,409.0
assam,cachar,788104,assam_cachar_788104,222.0,1349.0,901.0
assam,cachar,788106,assam_cachar_788106,24.0,586.0,432.0
assam,cachar,788107,assam_cachar_788107,541.0,896.0,1205.0
assam,cachar,788108,assam_cachar_788108,17.0,239.0,75.0
assam,cachar,788109,assam_cachar_788109,12.0,81.0,20.0
assam,cachar,788110,assam_cachar_788110,28.0,624.0,1080.0
assam,cachar,788111,assam_cachar_788111,38.0,184.0,476.0
assam,cachar,788112,assam_cachar_788112,187.0,184.0,571.0
assam,cachar,788113,assam_cachar_788113,235.0,613.0,661.0
assam,cachar,788114,assam_cachar_788114,272.0,531.0,903.0
assam,cachar,788115,assam_cachar_788115,41.0,282.0,666.0
assam,cachar,788116,assam_cachar_788116,340.0,862.0,1465.0
assam,cachar,788117,assam_cachar_788117,262.0,410.0,510.0
assam,cachar,788118,assam_cachar_788118,73.0,346.0,404.0
assam,cachar,788119,assam_cachar_788119,439.0,1181.0,2497.0
assam,cachar,788120,assam_cachar_788120,311.0,1164.0,2179.0
assam,cachar,788121,assam_cachar_788121,35.0,248.0,355.0
assam,cachar,788123,assam_cachar_788123,31.0,244.0,302.0
assam,cachar,788126,assam_cachar_788126,356.0,973.0,906.0
assam,cachar,788127,assam_cachar_788127,11.0,91.0,209.0
assam,cachar,788150,assam_cachar_788150,12.0,104.0,179.0
assam,cachar,788152,assam_cachar_788152,1.0,4.0,0.0
assam,cachar,788155,assam_cachar_788155,0.0,4.0,0.0
assam,cachar,788161,assam_cachar_788161,0.0,4.0,3.0
assam,cachar,788163,assam_cachar_788163,0.0,2.0,3.0
assam,cachar,788164,assam_cachar_788164,1.0,4.0,0.0
assam,cachar,788165,assam_cachar_788165,0.0,2.0,0.0
assam,cachar,788166,assam_cachar_788166,0.0,1.0,0.0
assam,cachar,788709,assam_cachar_788709,2.0,0.0,0.0
assam,cachar,788713,assam_cachar_788713,0.0,0.0,1.0
assam,cachar,788722,assam_cachar_788722,0.0,0.0,3.0
assam,cachar,788725,assam_cachar_788725,0.0,4.0,0.0
assam,cachar,788726,assam_cachar_788726,0.0,2.0,0.0
assam,cachar,788735,assam_cachar_788735,0.0,2.0,0.0
assam,cachar,788801,assam_cachar_788801,11.0,87.0,173.0
assam,cachar,788802,assam_cachar_788802,229.0,184.0,543.0
assam,cachar,788804,assam_cachar_788804,27.0,375.0,620.0
assam,cachar,788805,assam_cachar_788805,357.0,566.0,935.0
assam,cachar,788806,assam_cachar_788806,4.0,33.0,6.0
assam,cachar,788815,assam_cachar_788815,1119.0,2084.0,2517.0
assam,cachar,788816,assam_cachar_788816,37.0,724.0,709.0
assam,cachar,788817,assam_cachar_788817,702.0,1050.0,1946.0
assam,charaideo,785669,assam_charaideo_785669,3.0,22.0,18.0
assam,charaideo,785670,assam_charaideo_785670,39.0,852.0,773.0
assam,charaideo,785673,assam_charaideo_785673,10.0,162.0,475.0
assam,charaideo,785686,assam_charaideo_785686,8.0,29.0,19.0
assam,charaideo,785688,assam_charaideo_785688,6.0,51.0,23.0
assam,charaideo,785689,assam_charaideo_785689,132.0,728.0,971.0
assam,charaideo,785690,assam_charaideo_785690,168.0,1315.0,1093.0
assam,charaideo,785691,assam_charaideo_785691,27.0,640.0,781.0
assam,charaideo,785692,assam_charaideo_785692,230.0,1294.0,1341.0
assam,charaideo,785693,assam_charaideo_785693,21.0,523.0,666.0
assam,charaideo,785698,assam_charaideo_785698,4.0,65.0,56.0
assam,chirang,781317,assam_chirang_781317,4.0,39.0,38.0
assam,chirang,783337,assam_chirang_783337,0.0,1.0,1.0
assam,chirang,783346,assam_chirang_783346,0.0,4.0,1.0
assam,chirang,783360,assam_chirang_783360,0.0,12.0,2.0
assam,chirang,783370,assam_chirang_783370,0.0,1.0,0.0
assam,chirang,783372,assam_chirang_783372,52.0,878.0,3238.0
assam,chirang,783373,assam_chirang_783373,239.0,660.0,930.0
assam,chirang,783375,assam_chirang_783375,563.0,389.0,2118.0
assam,chirang,783380,assam_chirang_783380,34.0,450.0,635.0
assam,chirang,783381,assam_chirang_783381,4.0,101.0,274.0
assam,chirang,783384,assam_chirang_783384,0.0,0.0,1.0
assam,chirang,783385,assam_chirang_783385,51.0,746.0,1052.0
assam,chirang,783390,assam_chirang_783390,919.0,1618.0,4117.0
assam,chirang,783391,assam_chirang_783391,62.0,652.0,2063.0
assam,chirang,783392,assam_chirang_783392,10.0,86.0,535.0
assam,chirang,783393,assam_chirang_783393,226.0,933.0,2959.0
assam,chirang,783394,assam_chirang_783394,213.0,341.0,1307.0
assam,darrang,784114,assam_darrang_784114,403.0,768.0,693.0
assam,darrang,784115,assam_darrang_784115,632.0,3419.0,2675.0
assam,darrang,784116,assam_darrang_784116,559.0,2546.0,2685.0
assam,darrang,784125,assam_darrang_784125,518.0,1627.0,2971.0
assam,darrang,784144,assam_darrang_784144,55.0,460.0,678.0
assam,darrang,784145,assam_darrang_784145,662.0,2076.0,3219.0
assam,darrang,784146,assam_darrang_784146,403.0,1843.0,1518.0
assam,darrang,784147,assam_darrang_784147,37.0,154.0,325.0
assam,darrang,784148,assam_darrang_784148,34.0,638.0,554.0
assam,darrang,784149,assam_darrang_784149,1.0,0.0,0.0
assam,darrang,784168,assam_darrang_784168,0.0,1.0,0.0
assam,darrang,784190,assam_darrang_784190,318.0,425.0,1835.0
assam,darrang,784507,assam_darrang_784507,0.0,4.0,0.0
assam,darrang,784509,assam_darrang_784509,1.0,11.0,3.0
assam,darrang,784514,assam_darrang_784514,232.0,985.0,1232.0
assam,darrang,784521,assam_darrang_784521,1.0,1.0,0.0
assam,darrang,784522,assam_darrang_784522,8.0,44.0,27.0
assam,darrang,784524,assam_darrang_784524,1.0,0.0,0.0
assam,darrang,784525,assam_darrang_784525,38.0,647.0,683.0
assam,darrang,784529,assam_darrang_784529,26.0,164.0,191.0
assam,dhemaji,784161,assam_dhemaji_784161,0.0,2.0,0.0
assam,dhemaji,784164,assam_dhemaji_784164,0.0,2.0,0.0
assam,dhemaji,786003,assam_dhemaji_786003,0.0,3.0,0.0
assam,dhemaji,786110,assam_dhemaji_786110,444.0,651.0,1536.0
assam,dhemaji,786610,assam_dhemaji_786610,0.0,4.0,0.0
assam,dhemaji,787026,assam_dhemaji_787026,207.0,291.0,970.0
assam,dhemaji,787032,assam_dhemaji_787032,0.0,1.0,1.0
assam,dhemaji,787034,assam_dhemaji_787034,233.0,1348.0,1111.0
assam,dhemaji,787035,assam_dhemaji_787035,73.0,333.0,488.0
assam,dhemaji,787053,assam_dhemaji_787053,13.0,56.0,150.0
assam,dhemaji,787055,assam_dhemaji_787055,2.0,20.0,9.0
assam,dhemaji,787056,assam_dhemaji_787056,19.0,144.0,338.0
assam,dhemaji,787057,assam_dhemaji_787057,1069.0,1088.0,2166.0
assam,dhemaji,787058,assam_dhemaji_787058,381.0,1757.0,912.0
assam,dhemaji,787059,assam_dhemaji_787059,935.0,3764.0,3219.0
assam,dhemaji,787060,assam_dhemaji_787060,1248.0,2096.0,2340.0
assam,dhemaji,787061,assam_dhemaji_787061,353.0,1276.0,1148.0
assam,dhemaji,787110,assam_dhemaji_787110,4.0,36.0,4.0
assam,dhubri,783101,assam_dhubri_783101,0.0,2.0,0.0
assam,dhubri,783127,assam_dhubri_783127,97.0,1122.0,1416.0
assam,dhubri,783128,assam_dhubri_783128,41.0,893.0,1350.0
assam,dhubri,783131,assam_dhubri_783131,80.0,1286.0,1223.0
assam,dhubri,783135,assam_dhubri_783135,99.0,1006.0,1311.0
assam,dhubri,783301,assam_dhubri_783301,33.0,653.0,620.0
assam,dhubri,783323,assam_dhubri_783323,116.0,1590.0,1465.0
assam,dhubri,783324,assam_dhubri_783324,160.0,2842.0,2789.0
assam,dhubri,783325,assam_dhubri_783325,90.0,1267.0,1497.0
assam,dhubri,783330,assam_dhubri_783330,549.0,5499.0,3950.0
assam,dhubri,783331,assam_dhubri_783331,830.0,3502.0,3289.0
assam,dhubri,783332,assam_dhubri_783332,35.0,469.0,429.0
assam,dhubri,783334,assam_dhubri_783334,946.0,7710.0,4859.0
assam,dhubri,783335,assam_dhubri_783335,253.0,3062.0,3109.0
assam,dhubri,783337,assam_dhubri_783337,645.0,917.0,1369.0
assam,dhubri,783339,assam_dhubri_783339,226.0,2829.0,3996.0
assam,dhubri,783345,assam_dhubri_783345,98.0,1358.0,1431.0
assam,dhubri,783348,assam_dhubri_783348,1643.0,7120.0,7057.0
assam,dhubri,783349,assam_dhubri_783349,490.0,3138.0,1838.0
assam,dhubri,783354,assam_dhubri_783354,0.0,3.0,0.0
assam,dhubri,783360,assam_dhubri_783360,1.0,0.0,1.0
assam,dhubri,783371,assam_dhubri_783371,161.0,1351.0,1498.0
assam,dhubri,783376,assam_dhubri_783376,32.0,466.0,336.0
assam,dhubri,783388,assam_dhubri_783388,0.0,2.0,0.0
assam,dibrugarh,785670,assam_dibrugarh_785670,21.0,85.0,65.0
assam,dibrugarh,785675,assam_dibrugarh_785675,539.0,1282.0,1475.0
assam,dibrugarh,785676,assam_dibrugarh_785676,34.0,473.0,790.0
assam,dibrugarh,786001,assam_dibrugarh_786001,530.0,1671.0,2852.0
assam,dibrugarh,786002,assam_dibrugarh_786002,10.0,101.0,177.0
assam,dibrugarh,786003,assam_dibrugarh_786003,271.0,937.0,1748.0
assam,dibrugarh,786004,assam_dibrugarh_786004,15.0,403.0,995.0
assam,dibrugarh,786005,assam_dibrugarh_786005,8.0,117.0,491.0
assam,dibrugarh,786006,assam_dibrugarh_786006,3.0,23.0,136.0
assam,dibrugarh,786007,assam_dibrugarh_786007,327.0,738.0,2054.0
assam,dibrugarh,786008,assam_dibrugarh_786008,25.0,88.0,531.0
assam,dibrugarh,786010,assam_dibrugarh_786010,508.0,1266.0,1396.0
assam,dibrugarh,786012,assam_dibrugarh_786012,97.0,157.0,422.0
assam,dibrugarh,786101,assam_dibrugarh_786101,465.0,829.0,1564.0
assam,dibrugarh,786102,assam_dibrugarh_786102,0.0,5.0,4.0
assam,dibrugarh,786103,assam_dibrugarh_786103,50.0,405.0,527.0
assam,dibrugarh,786184,assam_dibrugarh_786184,386.0,1181.0,1681.0
assam,dibrugarh,786189,assam_dibrugarh_786189,1.0,17.0,1.0
assam,dibrugarh,786191,assam_dibrugarh_786191,161.0,897.0,714.0
assam,dibrugarh,786602,assam_dibrugarh_786602,403.0,925.0,1168.0
assam,dibrugarh,786610,assam_dibrugarh_786610,441.0,735.0,1250.0
assam,dibrugarh,786611,assam_dibrugarh_786611,261.0,337.0,443.0
assam,dibrugarh,786612,assam_dibrugarh_786612,227.0,574.0,592.0
assam,dibrugarh,786613,assam_dibrugarh_786613,340.0,711.0,814.0
assam,dibrugarh,786614,assam_dibrugarh_786614,67.0,277.0,441.0
assam,dibrugarh,786621,assam_dibrugarh_786621,24.0,238.0,193.0
assam,dibrugarh,786622,assam_dibrugarh_786622,5.0,29.0,13.0
assam,dibrugarh,786623,assam_dibrugarh_786623,20.0,146.0,204.0
assam,dibrugarh,786624,assam_dibrugarh_786624,11.0,20.0,9.0
assam,dibrugarh,786692,assam_dibrugarh_786692,4.0,45.0,16.0
assam,dima hasao,788818,assam_dima hasao_788818,1.0,14.0,0.0
assam,dima hasao,788819,assam_dima hasao_788819,223.0,58.0,5.0
assam,dima hasao,788830,assam_dima hasao_788830,3.0,12.0,5.0
assam,dima hasao,788831,assam_dima hasao_788831,0.0,13.0,2.0
assam,dima hasao,788832,assam_dima hasao_788832,0.0,4.0,0.0
assam,dima hasao,788931,assam_dima hasao_788931,0.0,44.0,0.0
assam,goalpara,783101,assam_goalpara_783101,819.0,4891.0,3338.0
assam,goalpara,783120,assam_goalpara_783120,334.0,3486.0,1329.0
assam,goalpara,783121,assam_goalpara_783121,85.0,557.0,824.0
assam,goalpara,783122,assam_goalpara_783122,9.0,152.0,61.0
assam,goalpara,783123,assam_goalpara_783123,35.0,353.0,599.0
assam,goalpara,783124,assam_goalpara_783124,62.0,723.0,453.0
assam,goalpara,783125,assam_goalpara_783125,530.0,1653.0,1410.0
assam,goalpara,783126,assam_goalpara_783126,660.0,2051.0,1290.0
assam,goalpara,783129,assam_goalpara_783129,2650.0,8315.0,4980.0
assam,goalpara,783130,assam_goalpara_783130,369.0,991.0,732.0
assam,goalpara,783132,assam_goalpara_783132,821.0,1312.0,1459.0
assam,goalpara,783133,assam_goalpara_783133,7.0,12.0,3.0
assam,goalpara,783134,assam_goalpara_783134,307.0,258.0,208.0
assam,goalpara,783330,assam_goalpara_783330,187.0,1520.0,1622.0
assam,golaghat,785601,assam_golaghat_785601,1248.0,2865.0,3512.0
assam,golaghat,785602,assam_golaghat_785602,411.0,832.0,804.0
assam,golaghat,785603,assam_golaghat_785603,616.0,771.0,290.0
assam,golaghat,785609,assam_golaghat_785609,159.0,219.0,110.0
assam,golaghat,785610,assam_golaghat_785610,99.0,141.0,135.0
assam,golaghat,785611,assam_golaghat_785611,310.0,999.0,849.0
assam,golaghat,785612,assam_golaghat_785612,1139.0,1317.0,922.0
assam,golaghat,785613,assam_golaghat_785613,269.0,805.0,401.0
assam,golaghat,785614,assam_golaghat_785614,959.0,1559.0,1662.0
assam,golaghat,785615,assam_golaghat_785615,207.0,234.0,250.0
assam,golaghat,785618,assam_golaghat_785618,33.0,605.0,613.0
assam,golaghat,785619,assam_golaghat_785619,114.0,1362.0,562.0
assam,golaghat,785621,assam_golaghat_785621,667.0,755.0,925.0
assam,golaghat,785622,assam_golaghat_785622,83.0,814.0,421.0
assam,golaghat,785625,assam_golaghat_785625,555.0,725.0,317.0
assam,golaghat,785626,assam_golaghat_785626,20.0,154.0,298.0
assam,golaghat,785630,assam_golaghat_785630,0.0,0.0,1.0
assam,golaghat,785631,assam_golaghat_785631,2.0,6.0,2.0
assam,golaghat,785634,assam_golaghat_785634,0.0,2.0,0.0
assam,golaghat,785635,assam_golaghat_785635,0.0,1.0,0.0
assam,golaghat,785685,assam_golaghat_785685,0.0,0.0,1.0
assam,golaghat,785692,assam_golaghat_785692,0.0,2.0,0.0
assam,golaghat,785697,assam_golaghat_785697,0.0,0.0,1.0
assam,golaghat,785699,assam_golaghat_785699,83.0,103.0,111.0
assam,golaghat,785702,assam_golaghat_785702,1052.0,1580.0,830.0
assam,golaghat,785703,assam_golaghat_785703,100.0,48.0,22.0
assam,golaghat,785705,assam_golaghat_785705,1311.0,1536.0,1398.0
assam,hailakandi,788007,assam_hailakandi_788007,0.0,1.0,5.0
assam,hailakandi,788102,assam_hailakandi_788102,2.0,8.0,1.0
assam,hailakandi,788113,assam_hailakandi_788113,44.0,314.0,435.0
assam,hailakandi,788117,assam_hailakandi_788117,4.0,4.0,1.0
assam,hailakandi,788150,assam_hailakandi_788150,130.0,789.0,1425.0
assam,hailakandi,788151,assam_hailakandi_788151,33.0,230.0,403.0
assam,hailakandi,788152,assam_hailakandi_788152,214.0,586.0,1072.0
assam,hailakandi,788155,assam_hailakandi_788155,337.0,1106.0,2547.0
assam,hailakandi,788160,assam_hailakandi_788160,21.0,228.0,120.0
assam,hailakandi,788161,assam_hailakandi_788161,549.0,1883.0,1813.0
assam,hailakandi,788162,assam_hailakandi_788162,212.0,1537.0,1376.0
assam,hailakandi,788163,assam_hailakandi_788163,914.0,1209.0,2771.0
assam,hailakandi,788164,assam_hailakandi_788164,198.0,806.0,1041.0
assam,hailakandi,788165,assam_hailakandi_788165,220.0,710.0,707.0
assam,hailakandi,788166,assam_hailakandi_788166,0.0,3.0,0.0
assam,hailakandi,788168,assam_hailakandi_788168,21.0,103.0,339.0
assam,hailakandi,788720,assam_hailakandi_788720,1.0,7.0,1.0
assam,hailakandi,788801,assam_hailakandi_788801,130.0,957.0,1159.0
assam,hailakandi,788802,assam_hailakandi_788802,17.0,85.0,111.0
assam,hailakandi,788806,assam_hailakandi_788806,1.0,2.0,0.0
assam,hailakandi,788816,assam_hailakandi_788816,0.0,3.0,0.0
assam,hailakandi,788817,assam_hailakandi_788817,1.0,0.0,0.0
assam,hojai,782428,assam_hojai_782428,34.0,404.0,1023.0
assam,hojai,782429,assam_hojai_782429,83.0,393.0,795.0
assam,hojai,782435,assam_hojai_782435,1315.0,2550.0,4177.0
assam,hojai,782439,assam_hojai_782439,286.0,1285.0,1603.0
assam,hojai,782440,assam_hojai_782440,108.0,950.0,1748.0
assam,hojai,782442,assam_hojai_782442,260.0,1837.0,1564.0
assam,hojai,782445,assam_hojai_782445,98.0,1349.0,1654.0
assam,hojai,782446,assam_hojai_782446,2423.0,5910.0,5756.0
assam,hojai,782447,assam_hojai_782447,197.0,661.0,1828.0
assam,hojai,782481,assam_hojai_782481,14.0,80.0,68.0
assam,jorhat,785001,assam_jorhat_785001,327.0,1400.0,1148.0
assam,jorhat,785004,assam_jorhat_785004,14.0,66.0,126.0
assam,jorhat,785005,assam_jorhat_785005,1.0,12.0,9.0
assam,jorhat,785006,assam_jorhat_785006,121.0,570.0,496.0
assam,jorhat,785007,assam_jorhat_785007,9.0,67.0,88.0
assam,jorhat,785008,assam_jorhat_785008,29.0,191.0,344.0
assam,jorhat,785009,assam_jorhat_785009,9.0,33.0,57.0
assam,jorhat,785010,assam_jorhat_785010,80.0,117.0,544.0
assam,jorhat,785013,assam_jorhat_785013,3.0,13.0,5.0
assam,jorhat,785014,assam_jorhat_785014,7.0,33.0,54.0
assam,jorhat,785015,assam_jorhat_785015,17.0,98.0,138.0
assam,jorhat,785101,assam_jorhat_785101,22.0,517.0,387.0
assam,jorhat,785102,assam_jorhat_785102,2.0,0.0,1.0
assam,jorhat,785104,assam_jorhat_785104,23.0,192.0,254.0
assam,jorhat,785105,assam_jorhat_785105,22.0,145.0,158.0
assam,jorhat,785106,assam_jorhat_785106,5.0,19.0,11.0
assam,jorhat,785107,assam_jorhat_785107,89.0,145.0,461.0
assam,jorhat,785108,assam_jorhat_785108,112.0,309.0,429.0
assam,jorhat,785110,assam_jorhat_785110,5.0,61.0,36.0
assam,jorhat,785111,assam_jorhat_785111,8.0,31.0,23.0
assam,jorhat,785112,assam_jorhat_785112,222.0,615.0,894.0
assam,jorhat,785614,assam_jorhat_785614,0.0,8.0,2.0
assam,jorhat,785616,assam_jorhat_785616,138.0,896.0,461.0
assam,jorhat,785625,assam_jorhat_785625,0.0,0.0,1.0
assam,jorhat,785630,assam_jorhat_785630,392.0,1661.0,1142.0
assam,jorhat,785631,assam_jorhat_785631,98.0,1110.0,649.0
assam,jorhat,785632,assam_jorhat_785632,38.0,80.0,138.0
assam,jorhat,785633,assam_jorhat_785633,121.0,520.0,447.0
assam,jorhat,785634,assam_jorhat_785634,326.0,813.0,1031.0
assam,jorhat,785635,assam_jorhat_785635,446.0,705.0,732.0
assam,jorhat,785636,assam_jorhat_785636,123.0,367.0,142.0
assam,jorhat,785666,assam_jorhat_785666,0.0,6.0,0.0
assam,jorhat,785680,assam_jorhat_785680,94.0,13.0,4.0
assam,jorhat,785682,assam_jorhat_785682,13.0,67.0,239.0
assam,jorhat,785683,assam_jorhat_785683,4.0,225.0,210.0
assam,jorhat,785700,assam_jorhat_785700,18.0,92.0,103.0
assam,jorhat,785703,assam_jorhat_785703,16.0,141.0,291.0
assam,jorhat,785704,assam_jorhat_785704,10.0,37.0,8.0
assam,kamrup,781001,assam_kamrup_781001,0.0,0.0,5.0
assam,kamrup,781003,assam_kamrup_781003,1.0,6.0,1.0
assam,kamrup,781004,assam_kamrup_781004,0.0,2.0,2.0
assam,kamrup,781006,assam_kamrup_781006,6.0,12.0,4.0
