state,district,pincode,region_key,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrolment,total_demographic,total_biometric,demo_to_enrol_ratio,bio_to_enrol_ratio
assam,bajali,781325,assam_bajali_781325,2025-03,0,0,0,0,11,0,0,0,11,0,1.1,0
assam,bajali,781325,assam_bajali_781325,2025-04,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781325,assam_bajali_781325,2025-05,1,0,0,0,2,0,0,1,2,0,0.2,0
assam,bajali,781325,assam_bajali_781325,2025-06,0,0,2,4,10,0,0,2,14,0,1.4,0
assam,bajali,781325,assam_bajali_781325,2025-08,0,0,0,1,17,0,1,0,18,1,1.8,0.1
assam,bajali,781325,assam_bajali_781325,2025-09,0,0,0,0,10,0,0,0,10,0,1,0
assam,bajali,781325,assam_bajali_781325,2025-10,0,0,0,0,13,0,0,0,13,0,1.3,0
assam,bajali,781325,assam_bajali_781325,2025-11,0,0,0,4,22,0,0,0,26,0,2.6,0
assam,bajali,781325,assam_bajali_781325,2025-12,1,0,0,2,6,0,0,1,8,0,0.8,0
assam,bajali,781326,assam_bajali_781326,2025-01,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781326,assam_bajali_781326,2025-03,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781326,assam_bajali_781326,2025-04,0,0,0,0,2,0,1,0,2,1,0.2,0.1
assam,bajali,781326,assam_bajali_781326,2025-05,0,0,0,0,3,0,1,0,3,1,0.3,0.1
assam,bajali,781326,assam_bajali_781326,2025-06,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781326,assam_bajali_781326,2025-07,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781326,assam_bajali_781326,2025-08,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781326,assam_bajali_781326,2025-11,0,0,0,2,2,0,0,0,4,0,0.4,0
assam,bajali,781326,assam_bajali_781326,2025-12,0,1,0,1,5,0,0,1,6,0,0.6,0
assam,bajali,781328,assam_bajali_781328,2025-01,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781328,assam_bajali_781328,2025-02,0,0,0,1,2,0,0,0,3,0,0.3,0
assam,bajali,781328,assam_bajali_781328,2025-03,0,0,0,1,0,1,0,0,1,1,0.1,0.1
assam,bajali,781328,assam_bajali_781328,2025-05,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781328,assam_bajali_781328,2025-06,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781328,assam_bajali_781328,2025-07,0,0,0,0,3,0,0,0,3,0,0.3,0
assam,bajali,781328,assam_bajali_781328,2025-09,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781328,assam_bajali_781328,2025-10,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781328,assam_bajali_781328,2025-11,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781328,assam_bajali_781328,2025-12,0,0,0,0,6,0,0,0,6,0,0.6,0
assam,bajali,781329,assam_bajali_781329,2025-01,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781329,assam_bajali_781329,2025-02,0,0,0,0,6,0,0,0,6,0,0.6,0
assam,bajali,781329,assam_bajali_781329,2025-03,0,0,0,1,0,0,0,0,1,0,0.1,0
assam,bajali,781329,assam_bajali_781329,2025-05,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781329,assam_bajali_781329,2025-06,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781329,assam_bajali_781329,2025-07,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781329,assam_bajali_781329,2025-08,0,0,0,0,4,0,1,0,4,1,0.4,0.1
assam,bajali,781329,assam_bajali_781329,2025-09,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781329,assam_bajali_781329,2025-12,0,0,0,0,7,0,0,0,7,0,0.7,0
assam,bajali,781352,assam_bajali_781352,2025-01,1,0,0,0,3,0,0,1,3,0,0.3,0
assam,bajali,781352,assam_bajali_781352,2025-04,0,0,0,0,0,1,0,0,0,1,0,0.1
assam,bajali,781352,assam_bajali_781352,2025-05,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781352,assam_bajali_781352,2025-07,0,0,0,1,0,0,0,0,1,0,0.1,0
assam,bajali,781352,assam_bajali_781352,2025-08,0,0,0,0,2,1,0,0,2,1,0.2,0.1
assam,bajali,781352,assam_bajali_781352,2025-10,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781352,assam_bajali_781352,2025-11,0,0,0,1,2,0,0,0,3,0,0.3,0
assam,bajali,781355,assam_bajali_781355,2025-01,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781355,assam_bajali_781355,2025-02,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781355,assam_bajali_781355,2025-03,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781355,assam_bajali_781355,2025-05,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781355,assam_bajali_781355,2025-07,0,0,0,0,5,0,0,0,5,0,0.5,0
assam,bajali,781355,assam_bajali_781355,2025-08,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781355,assam_bajali_781355,2025-09,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781371,assam_bajali_781371,2025-06,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781371,assam_bajali_781371,2025-09,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781371,assam_bajali_781371,2025-10,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,bajali,781375,assam_bajali_781375,2025-01,1,0,0,1,4,0,0,1,5,0,0.5,0
assam,bajali,781375,assam_bajali_781375,2025-02,1,0,0,0,2,0,0,1,2,0,0.2,0
assam,bajali,781375,assam_bajali_781375,2025-03,0,0,0,0,7,0,0,0,7,0,0.7,0
assam,bajali,781375,assam_bajali_781375,2025-04,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,bajali,781375,assam_bajali_781375,2025-05,0,0,0,0,4,0,0,0,4,0,0.4,0
assam,bajali,781375,assam_bajali_781375,2025-08,0,0,0,0,6,0,0,0,6,0,0.6,0
assam,bajali,781375,assam_bajali_781375,2025-09,0,0,0,0,1,1,0,0,1,1,0.1,0.1
assam,bajali,781375,assam_bajali_781375,2025-10,1,0,0,0,0,0,0,1,0,0,0,0
assam,bajali,781375,assam_bajali_781375,2025-12,0,0,0,0,6,0,0,0,6,0,0.6,0
assam,baksa,781312,assam_baksa_781312,2025-09,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,baksa,781313,assam_baksa_781313,2025-10,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,baksa,781313,assam_baksa_781313,2025-11,0,1,0,0,0,0,0,1,0,0,0,0
assam,baksa,781315,assam_baksa_781315,2025-01,121,34,18,11,79,1732,496,173,90,2228,0.520231214,12.87861272
assam,baksa,781315,assam_baksa_781315,2025-02,20,7,0,7,55,35,18,27,62,53,2.296296296,1.962962963
assam,baksa,781315,assam_baksa_781315,2025-03,10,3,0,3,33,56,23,13,36,79,2.769230769,6.076923077
assam,baksa,781315,assam_baksa_781315,2025-04,8,1,0,9,86,54,30,9,95,84,9.5,8.4
assam,baksa,781315,assam_baksa_781315,2025-05,5,2,0,6,42,68,20,7,48,88,4.8,8.8
assam,baksa,781315,assam_baksa_781315,2025-06,3,8,0,4,48,47,20,11,52,67,4.727272727,6.090909091
assam,baksa,781315,assam_baksa_781315,2025-07,0,3,0,0,59,170,36,3,59,206,5.9,20.6
assam,baksa,781315,assam_baksa_781315,2025-08,15,1,0,7,118,209,43,16,125,252,7.8125,15.75
assam,baksa,781315,assam_baksa_781315,2025-09,5,1,0,4,48,27,13,6,52,40,5.2,4
assam,baksa,781315,assam_baksa_781315,2025-10,4,3,1,13,47,99,29,8,60,128,6,12.8
assam,baksa,781315,assam_baksa_781315,2025-11,4,3,0,3,40,138,26,7,43,164,4.3,16.4
assam,baksa,781315,assam_baksa_781315,2025-12,10,5,0,10,85,35,17,15,95,52,6.333333333,3.466666667
assam,baksa,781316,assam_baksa_781316,2025-01,1,0,0,0,2,2,0,1,2,2,0.2,0.2
assam,baksa,781316,assam_baksa_781316,2025-03,0,0,0,3,0,0,0,0,3,0,0.3,0
assam,baksa,781316,assam_baksa_781316,2025-04,0,0,0,0,3,1,0,0,3,1,0.3,0.1
assam,baksa,781316,assam_baksa_781316,2025-05,1,0,0,0,0,0,0,1,0,0,0,0
assam,baksa,781316,assam_baksa_781316,2025-06,0,0,0,1,2,0,0,0,3,0,0.3,0
assam,baksa,781316,assam_baksa_781316,2025-07,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,baksa,781316,assam_baksa_781316,2025-08,0,0,0,0,2,0,1,0,2,1,0.2,0.1
assam,baksa,781316,assam_baksa_781316,2025-09,0,0,0,0,1,2,0,0,1,2,0.1,0.2
assam,baksa,781316,assam_baksa_781316,2025-10,0,0,0,0,0,1,0,0,0,1,0,0.1
assam,baksa,781316,assam_baksa_781316,2025-11,0,0,0,0,2,1,1,0,2,2,0.2,0.2
assam,baksa,781316,assam_baksa_781316,2025-12,0,0,0,0,0,0,1,0,0,1,0,0.1
assam,baksa,781318,assam_baksa_781318,2025-01,1,0,0,11,63,98,28,1,74,126,7.4,12.6
assam,baksa,781318,assam_baksa_781318,2025-02,1,0,0,0,8,3,2,1,8,5,0.8,0.5
assam,baksa,781318,assam_baksa_781318,2025-03,2,1,0,0,7,8,2,3,7,10,0.7,1
assam,baksa,781318,assam_baksa_781318,2025-04,0,0,0,0,12,5,0,0,12,5,1.2,0.5
assam,baksa,781318,assam_baksa_781318,2025-05,2,0,0,0,8,2,1,2,8,3,0.8,0.3
assam,baksa,781318,assam_baksa_781318,2025-06,1,0,0,1,12,5,1,1,13,6,1.3,0.6
assam,baksa,781318,assam_baksa_781318,2025-07,0,0,0,0,5,8,1,0,5,9,0.5,0.9
assam,baksa,781318,assam_baksa_781318,2025-08,0,0,0,1,13,0,0,0,14,0,1.4,0
assam,baksa,781318,assam_baksa_781318,2025-09,0,0,0,0,4,4,0,0,4,4,0.4,0.4
assam,baksa,781318,assam_baksa_781318,2025-10,0,0,0,0,9,5,0,0,9,5,0.9,0.5
assam,baksa,781318,assam_baksa_781318,2025-11,0,0,0,0,6,7,3,0,6,10,0.6,1
assam,baksa,781318,assam_baksa_781318,2025-12,0,0,0,1,10,2,0,0,11,2,1.1,0.2
assam,baksa,781325,assam_baksa_781325,2025-09,0,0,0,0,0,1,0,0,0,1,0,0.1
assam,baksa,781325,assam_baksa_781325,2025-10,0,0,0,0,2,0,0,0,2,0,0.2,0
assam,baksa,781325,assam_baksa_781325,2025-11,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,baksa,781325,assam_baksa_781325,2025-12,0,0,0,0,0,1,0,0,0,1,0,0.1
assam,baksa,781327,assam_baksa_781327,2025-01,1,0,0,29,712,575,143,1,741,718,74.1,71.8
assam,baksa,781327,assam_baksa_781327,2025-02,0,1,0,4,31,13,2,1,35,15,3.5,1.5
assam,baksa,781327,assam_baksa_781327,2025-03,1,2,0,3,28,14,4,3,31,18,3.1,1.8
assam,baksa,781327,assam_baksa_781327,2025-04,0,2,0,1,20,39,7,2,21,46,2.1,4.6
assam,baksa,781327,assam_baksa_781327,2025-05,2,0,0,2,28,10,4,2,30,14,3,1.4
assam,baksa,781327,assam_baksa_781327,2025-06,0,0,0,2,21,17,5,0,23,22,2.3,2.2
assam,baksa,781327,assam_baksa_781327,2025-07,2,1,0,1,21,3,2,3,22,5,2.2,0.5
assam,baksa,781327,assam_baksa_781327,2025-08,5,1,0,0,35,22,3,6,35,25,3.5,2.5
assam,baksa,781327,assam_baksa_781327,2025-09,4,1,0,0,14,5,2,5,14,7,1.4,0.7
assam,baksa,781327,assam_baksa_781327,2025-10,0,0,0,3,15,7,1,0,18,8,1.8,0.8
assam,baksa,781327,assam_baksa_781327,2025-11,3,0,0,3,33,8,2,3,36,10,3.6,1
assam,baksa,781327,assam_baksa_781327,2025-12,2,0,0,3,35,15,3,2,38,18,3.8,1.8
assam,baksa,781328,assam_baksa_781328,2025-01,0,0,0,0,10,21,6,0,10,27,1,2.7
assam,baksa,781328,assam_baksa_781328,2025-02,0,0,0,0,16,3,0,0,16,3,1.6,0.3
assam,baksa,781328,assam_baksa_781328,2025-03,0,0,0,0,12,2,1,0,12,3,1.2,0.3
assam,baksa,781328,assam_baksa_781328,2025-04,0,0,0,0,11,5,0,0,11,5,1.1,0.5
assam,baksa,781328,assam_baksa_781328,2025-05,1,0,0,0,10,3,1,1,10,4,1,0.4
assam,baksa,781328,assam_baksa_781328,2025-06,0,0,0,0,4,3,1,0,4,4,0.4,0.4
assam,baksa,781328,assam_baksa_781328,2025-07,0,0,0,0,20,2,0,0,20,2,2,0.2
assam,baksa,781328,assam_baksa_781328,2025-08,2,0,0,0,11,11,3,2,11,14,1.1,1.4
assam,baksa,781328,assam_baksa_781328,2025-09,0,0,0,0,5,8,0,0,5,8,0.5,0.8
assam,baksa,781328,assam_baksa_781328,2025-10,0,0,0,0,10,4,0,0,10,4,1,0.4
assam,baksa,781328,assam_baksa_781328,2025-11,0,0,0,1,8,1,1,0,9,2,0.9,0.2
assam,baksa,781328,assam_baksa_781328,2025-12,0,0,0,1,24,5,0,0,25,5,2.5,0.5
assam,baksa,781329,assam_baksa_781329,2025-01,0,1,0,0,0,47,3,1,0,50,0,5
assam,baksa,781329,assam_baksa_781329,2025-02,3,1,0,1,3,1,1,4,4,2,0.4,0.2
assam,baksa,781329,assam_baksa_781329,2025-03,0,0,0,1,5,3,1,0,6,4,0.6,0.4
assam,baksa,781329,assam_baksa_781329,2025-04,0,0,0,1,8,1,0,0,9,1,0.9,0.1
assam,baksa,781329,assam_baksa_781329,2025-05,1,0,0,0,6,2,0,1,6,2,0.6,0.2
assam,baksa,781329,assam_baksa_781329,2025-06,0,0,0,2,3,4,0,0,5,4,0.5,0.4
assam,baksa,781329,assam_baksa_781329,2025-07,0,0,0,0,1,7,2,0,1,9,0.1,0.9
assam,baksa,781329,assam_baksa_781329,2025-08,0,0,0,0,2,1,2,0,2,3,0.2,0.3
assam,baksa,781329,assam_baksa_781329,2025-09,0,0,0,0,0,5,0,0,0,5,0,0.5
assam,baksa,781329,assam_baksa_781329,2025-10,1,0,0,0,1,2,0,1,1,2,0.1,0.2
assam,baksa,781329,assam_baksa_781329,2025-11,0,0,0,0,2,1,4,0,2,5,0.2,0.5
assam,baksa,781329,assam_baksa_781329,2025-12,0,0,0,0,0,2,1,0,0,3,0,0.3
assam,baksa,781330,assam_baksa_781330,2025-01,0,0,0,0,2,124,37,0,2,161,0.2,16.1
assam,baksa,781330,assam_baksa_781330,2025-02,1,0,0,2,17,0,0,1,19,0,1.9,0
assam,baksa,781330,assam_baksa_781330,2025-03,0,0,0,3,8,0,1,0,11,1,1.1,0.1
assam,baksa,781330,assam_baksa_781330,2025-04,1,1,0,1,12,11,6,2,13,17,1.3,1.7
assam,baksa,781330,assam_baksa_781330,2025-05,0,1,0,1,18,3,0,1,19,3,1.9,0.3
assam,baksa,781330,assam_baksa_781330,2025-06,0,0,0,2,6,7,5,0,8,12,0.8,1.2
assam,baksa,781330,assam_baksa_781330,2025-07,1,0,0,0,2,22,5,1,2,27,0.2,2.7
assam,baksa,781330,assam_baksa_781330,2025-08,1,0,0,2,10,3,0,1,12,3,1.2,0.3
assam,baksa,781330,assam_baksa_781330,2025-09,0,0,0,0,8,0,0,0,8,0,0.8,0
assam,baksa,781330,assam_baksa_781330,2025-10,0,0,0,0,2,0,1,0,2,1,0.2,0.1
assam,baksa,781330,assam_baksa_781330,2025-11,3,1,0,2,10,7,1,4,12,8,1.2,0.8
assam,baksa,781330,assam_baksa_781330,2025-12,0,0,0,0,5,4,1,0,5,5,0.5,0.5
assam,baksa,781333,assam_baksa_781333,2025-01,0,0,0,17,135,183,55,0,152,238,15.2,23.8
assam,baksa,781333,assam_baksa_781333,2025-02,1,1,0,4,24,11,0,2,28,11,2.8,1.1
assam,baksa,781333,assam_baksa_781333,2025-03,0,0,0,2,16,6,2,0,18,8,1.8,0.8
assam,baksa,781333,assam_baksa_781333,2025-04,2,0,0,2,8,12,4,2,10,16,1,1.6
assam,baksa,781333,assam_baksa_781333,2025-05,1,0,0,0,5,5,5,1,5,10,0.5,1
assam,baksa,781333,assam_baksa_781333,2025-06,3,1,0,0,19,4,2,4,19,6,1.9,0.6
assam,baksa,781333,assam_baksa_781333,2025-07,2,1,0,0,6,6,1,3,6,7,0.6,0.7
assam,baksa,781333,assam_baksa_781333,2025-08,1,0,0,3,12,4,2,1,15,6,1.5,0.6
assam,baksa,781333,assam_baksa_781333,2025-09,4,1,0,2,9,10,4,5,11,14,1.1,1.4
assam,baksa,781333,assam_baksa_781333,2025-10,1,0,0,2,21,5,1,1,23,6,2.3,0.6
assam,baksa,781333,assam_baksa_781333,2025-11,0,0,0,0,10,1,2,0,10,3,1,0.3
assam,baksa,781333,assam_baksa_781333,2025-12,0,0,0,0,24,2,0,0,24,2,2.4,0.2
assam,baksa,781340,assam_baksa_781340,2025-01,1,0,0,0,2,0,1,1,2,1,0.2,0.1
assam,baksa,781340,assam_baksa_781340,2025-02,0,0,0,0,5,1,1,0,5,2,0.5,0.2
assam,baksa,781340,assam_baksa_781340,2025-03,4,0,0,1,2,3,0,4,3,3,0.3,0.3
assam,baksa,781340,assam_baksa_781340,2025-04,1,0,0,0,2,2,2,1,2,4,0.2,0.4
assam,baksa,781340,assam_baksa_781340,2025-05,1,0,0,0,2,0,0,1,2,0,0.2,0
assam,baksa,781340,assam_baksa_781340,2025-06,1,0,0,0,2,0,1,1,2,1,0.2,0.1
assam,baksa,781340,assam_baksa_781340,2025-07,0,0,0,0,1,0,0,0,1,0,0.1,0
assam,baksa,781340,assam_baksa_781340,2025-08,0,0,0,0,8,5,0,0,8,5,0.8,0.5
assam,baksa,781340,assam_baksa_781340,2025-09,0,0,0,0,2,3,1,0,2,4,0.2,0.4
assam,baksa,781340,assam_baksa_781340,2025-10,0,0,0,0,0,3,0,0,0,3,0,0.3
assam,baksa,781340,assam_baksa_781340,2025-11,0,0,0,0,1,4,0,0,1,4,0.1,0.4
assam,baksa,781340,assam_baksa_781340,2025-12,0,0,0,0,0,2,0,0,0,2,0,0.2
assam,baksa,781343,assam_baksa_781343,2025-01,0,0,0,13,110,261,81,0,123,342,12.3,34.2
assam,baksa,781343,assam_baksa_781343,2025-02,0,1,0,0,16,2,2,1,16,4,1.6,0.4
assam,baksa,781343,assam_baksa_781343,2025-03,3,0,1,2,12,7,4,4,14,11,1.4,1.1
assam,baksa,781343,assam_baksa_781343,2025-04,0,0,0,3,9,1,5,0,12,6,1.2,0.6
assam,baksa,781343,assam_baksa_781343,2025-05,2,0,0,3,13,1,2,2,16,3,1.6,0.3
assam,baksa,781343,assam_baksa_781343,2025-06,1,0,0,1,10,3,2,1,11,5,1.1,0.5
assam,baksa,781343,assam_baksa_781343,2025-07,1,0,0,1,10,2,0,1,11,2,1.1,0.2
assam,baksa,781343,assam_baksa_781343,2025-08,2,1,0,3,7,4,1,3,10,5,1,0.5
assam,baksa,781343,assam_baksa_781343,2025-09,0,0,0,0,14,0,2,0,14,2,1.4,0.2
assam,baksa,781343,assam_baksa_781343,2025-10,1,0,0,0,24,0,1,1,24,1,2.4,0.1
assam,baksa,781343,assam_baksa_781343,2025-11,0,0,1,1,10,2,1,1,11,3,1.1,0.3
assam,baksa,781343,assam_baksa_781343,2025-12,5,2,0,3,17,3,2,7,20,5,2,0.5
assam,baksa,781344,assam_baksa_781344,2025-01,72,50,27,52,304,330,113,149,356,443,2.389261745,2.973154362
assam,baksa,781344,assam_baksa_781344,2025-02,4,1,0,2,30,7,5,5,32,12,3.2,1.2
assam,baksa,781344,assam_baksa_781344,2025-03,2,7,0,0,19,14,5,9,19,19,1.9,1.9
assam,baksa,781344,assam_baksa_781344,2025-04,1,0,0,1,13,5,0,1,14,5,1.4,0.5
assam,baksa,781344,assam_baksa_781344,2025-05,4,0,0,1,12,7,1,4,13,8,1.3,0.8
assam,baksa,781344,assam_baksa_781344,2025-06,1,0,0,1,20,4,3,1,21,7,2.1,0.7
assam,baksa,781344,assam_baksa_781344,2025-07,0,0,0,4,32,4,0,0,36,4,3.6,0.4
assam,baksa,781344,assam_baksa_781344,2025-08,0,0,0,1,17,1,0,0,18,1,1.8,0.1
assam,baksa,781344,assam_baksa_781344,2025-09,1,0,0,1,10,2,4,1,11,6,1.1,0.6
assam,baksa,781344,assam_baksa_781344,2025-10,5,0,0,10,52,13,5,5,62,18,6.2,1.8
assam,baksa,781344,assam_baksa_781344,2025-11,0,0,0,1,12,14,0,0,13,14,1.3,1.4
assam,baksa,781344,assam_baksa_781344,2025-12,1,1,0,0,31,5,4,2,31,9,3.1,0.9
assam,baksa,781346,assam_baksa_781346,2025-01,30,13,12,11,236,598,128,55,247,726,4.490909091,13.2
assam,baksa,781346,assam_baksa_781346,2025-02,3,4,0,6,41,10,4,7,47,14,4.7,1.4
assam,baksa,781346,assam_baksa_781346,2025-03,0,0,0,2,30,9,4,0,32,13,3.2,1.3
assam,baksa,781346,assam_baksa_781346,2025-04,1,1,0,6,42,11,2,2,48,13,4.8,1.3
assam,baksa,781346,assam_baksa_781346,2025-05,1,1,0,1,14,8,11,2,15,19,1.5,1.9
assam,baksa,781346,assam_baksa_781346,2025-06,0,0,0,2,12,8,3,0,14,11,1.4,1.1
assam,baksa,781346,assam_baksa_781346,2025-07,1,0,5,1,10,7,4,6,11,11,1.1,1.1
assam,baksa,781346,assam_baksa_781346,2025-08,0,1,0,0,15,6,1,1,15,7,1.5,0.7
assam,baksa,781346,assam_baksa_781346,2025-09,2,0,0,0,8,10,8,2,8,18,0.8,1.8
assam,baksa,781346,assam_baksa_781346,2025-10,0,0,0,0,24,5,10,0,24,15,2.4,1.5
assam,baksa,781346,assam_baksa_781346,2025-11,0,1,4,2,13,7,6,5,15,13,1.5,1.3
assam,baksa,781346,assam_baksa_781346,2025-12,1,0,0,3,31,10,2,1,34,12,3.4,1.2
assam,baksa,781349,assam_baksa_781349,2025-01,0,1,0,32,168,191,80,1,200,271,20,27.1
assam,baksa,781349,assam_baksa_781349,2025-02,6,0,0,4,28,12,3,6,32,15,3.2,1.5
assam,baksa,781349,assam_baksa_781349,2025-03,0,0,0,2,5,10,3,0,7,13,0.7,1.3
assam,baksa,781349,assam_baksa_781349,2025-04,0,1,0,0,5,1,1,1,5,2,0.5,0.2
assam,baksa,781349,assam_baksa_781349,2025-05,5,1,0,2,14,10,1,6,16,11,1.6,1.1
assam,baksa,781349,assam_baksa_781349,2025-06,2,3,0,0,8,4,2,5,8,6,0.8,0.6
assam,baksa,781349,assam_baksa_781349,2025-07,0,2,0,2,10,4,1,2,12,5,1.2,0.5
assam,baksa,781349,assam_baksa_781349,2025-08,0,0,0,1,5,3,1,0,6,4,0.6,0.4
assam,baksa,781349,assam_baksa_781349,2025-09,0,1,0,0,4,2,2,1,4,4,0.4,0.4
assam,baksa,781349,assam_baksa_781349,2025-10,1,0,0,1,11,19,3,1,12,22,1.2,2.2
assam,baksa,781349,assam_baksa_781349,2025-11,0,0,0,3,17,29,5,0,20,34,2,3.4
assam,baksa,781349,assam_baksa_781349,2025-12,2,3,0,0,2,5,3,5,2,8,0.2,0.8
assam,baksa,781355,assam_baksa_781355,2025-01,0,0,0,0,17,77,18,0,17,95,1.7,9.5
assam,baksa,781355,assam_baksa_781355,2025-02,0,0,0,2,2,0,0,0,4,0,0.4,0
assam,baksa,781355,assam_baksa_781355,2025-03,0,0,1,1,8,1,0,1,9,1,0.9,0.1
assam,baksa,781355,assam_baksa_781355,2025-04,0,0,0,1,3,5,2,0,4,7,0.4,0.7
assam,baksa,781355,assam_baksa_781355,2025-05,1,0,0,0,2,1,0,1,2,1,0.2,0.1
assam,baksa,781355,assam_baksa_781355,2025-06,0,0,0,0,3,3,0,0,3,3,0.3,0.3
